k,inertia,silhouette_score
2,1885.9161151400035,0.011204960216511487
3,1856.5369133689803,0.018330565789560924
4,1843.941221647966,0.019188922047447037
5,1834.8400703897153,0.019855519427076935
6,1822.8769930138083,0.021796962138101988
7,1821.6920107511212,0.019384732495567086
8,1808.379029111693,0.023217496680921868
9,1804.9517818352376,0.023306051842324753
10,1796.5316392883726,0.024532230197135917
